Name,n_factors,n_epochs,lr_all,reg_all,HitRate,RMSE,MAE
SVD,100,20,0.005,0.02,0.0304635761589403,0.8732492418904668,0.6855153419488964
SVD++,20,20,0.007,0.02,0.0304635761589403,0.860659260506586,0.6717490785390312
NMF,15,50,None,None,0.0304635761589403,0.9177818862144022,0.7244913082010901
SVD,50,50,0.005,0.02,0.0304635761589403,0.8889774247502067,0.692293773083061
SVD++,10,40,0.007,0.02,0.0304635761589403,0.8598832682450543,0.6696094042655636
NMF,10,50,None,None,0.030463576158940398,0.9368335768602065,0.755041237458308
